Name,,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Anjum - Fairmont Jaipur,,Kukas,34 Dining Reviews,Does not offer Delivery,CAFÉ ,Cafe,"1,500",no,yes,no,yes,3.7,
Ankurit Kachhori Wala,,C Scheme,29 Dining Reviews,Does not offer Delivery,,Street Food,100,yes,no,no,yes,3.7,
Anna Ji,,Gopalpura,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"South Indian, Fast Food",300,yes,no,yes,yes,2.8,
Anna Madarasi,,Jagatpura,21 Dining Reviews,93 Delivery Reviews,Quick Bites ,South Indian,300,no,no,yes,yes,3.3,3.3
Annapurna Pavitra Bhojnalya,,Mansarovar,38 Dining Reviews,284 Delivery Reviews,Quick Bites ,"North Indian, Rajasthani",300,yes,no,yes,yes,3.4,3.9
Annapurna Sweets,,Vidhyadhar Nagar,138 Dining Reviews,Does not offer Delivery,"Sweet Shop, Quick Bites ","Mithai, Street Food, South Indian",100,yes,no,no,yes,3.8,
Annapurna Sweets,,Vaishali Nagar,4 Dining Reviews,Does not offer Delivery,Sweet Shop ,Mithai,100,yes,no,no,yes,2.9,
Annapurna Thali,,Tonk Road,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Rajasthani,250,yes,no,no,yes,,
Annapurna Thali House,,Malviya Nagar,19 Dining Reviews,99 Delivery Reviews,Casual Dining ,"North Indian, Fast Food",500,no,no,yes,yes,2.8,3.5
Annaratnam,,Sodala,Does not offer Dining,121 Delivery Reviews,,North Indian,200,no,no,yes,no,,3.7
Annpurna Pavitra Bhojnalaya,,Agra Road,9 Dining Reviews,385 Delivery Reviews,Quick Bites ,"Rajasthani, North Indian",300,yes,no,yes,yes,2.6,3.7
Annpurna Tiffin House,,Vaishali Nagar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Rajasthani",150,no,no,yes,no,,
Annu Bhai M.B.B.S. South Indian Restaurant,,Raja Park,18 Dining Reviews,Does not offer Delivery,Quick Bites ,"South Indian, Chinese, Ice Cream",350,yes,no,no,yes,3,
Annu Mobile Paan Bhandaar,,Mansarovar,178 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, South Indian, Paan, Ice Cream",350,yes,no,no,yes,4,
Annu Mobile Paan Bhandar,,Raja Park,178 Dining Reviews,Does not offer Delivery,Paan Shop ,Paan,100,no,no,no,yes,,
Anokhi Cafe,,C Scheme,684 Dining Reviews,Does not offer Delivery,"Beverage Shop, Bakery ","Beverages, Bakery",550,no,no,no,yes,4.5,
Anokhi Mess & Cafe,,Sanganer,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Street Food",100,yes,no,no,yes,,
Anokhi Veg Restaurant,,Sanganer,36 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese",450,yes,no,yes,yes,3.1,
Anokhi Veg Restaurant,,Sanganer,36 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Continental, Chinese, South Indian, Juices, Beverages",500,no,no,yes,yes,,
Anshika Restaurant,,Malviya Nagar,9 Dining Reviews,71 Delivery Reviews,Quick Bites ,North Indian,200,yes,no,yes,yes,3.2,3.9
Antique Caterers,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Anupam Chaat Corner,,Malviya Nagar,Does not offer Dining,274 Delivery Reviews,,"North Indian, Chinese, Fast Food",300,yes,no,yes,no,,3.9
Anuraag Villa Restaurant,,Bani Park,17 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Fast Food, Chinese, Healthy Food, Beverages",600,no,no,no,yes,3,
Anurag Bakery,,Pink City,Does not offer Dining,246 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food, Beverages",250,no,no,yes,no,,4.1
Anu's Kitchen,,Mansarovar,Does not offer Dining,"2,982 Delivery Reviews",,"North Indian, Chinese, Rolls, Biryani",500,no,no,yes,no,,3.1
Any Time Coffee,,Malviya Nagar,4 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,Cafe,400,yes,no,yes,yes,3.1,
Any Time Coffee,,Mansarovar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Beverages",400,yes,no,yes,yes,,
A-One Pavitra Bhojnalaya,,MI Road,154 Dining Reviews,"1,644 Delivery Reviews",Quick Bites ,North Indian,300,yes,no,yes,yes,3.5,3.6
Apna Adda Cafe And Restro,,Pratap Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,yes,no,yes,yes,,
Apna Cafe,,Jhotwara,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",300,no,no,no,yes,,
Apna Falafal,,C Scheme,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Arabian, Salad",450,yes,no,no,yes,,
Apna Food Junction,,Vidhyadhar Nagar,31 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Fast Food, Chinese, Beverages",500,no,no,no,yes,3.5,
Apna Juice Center,,Mansarovar,Not enough Dining Reviews,Does not offer Delivery,Beverage Shop ,Beverages,200,no,no,no,yes,,
Apna Khaana,,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,North Indian,300,no,no,yes,no,,
Apna Swaad Restaurant & Garden,,Khatipura Road,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,250,no,no,yes,yes,,
Apna Tiffin Centre,,Civil Lines,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Rajasthani",300,yes,no,yes,yes,,
Apni Bombay Chowpatty,,Jawahar Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Street Food,150,yes,no,no,yes,,
Apni Rasoi,,Amer Road,Does not offer Dining,Not enough Delivery Reviews,,North Indian,200,no,no,yes,no,,
Apni Rasoi Dhaba,,Malviya Nagar,6 Dining Reviews,84 Delivery Reviews,Quick Bites ,"North Indian, Street Food",200,yes,no,yes,yes,3.3,3.3
Apno Juice Corner,,Shyam Nagar,Not enough Dining Reviews,Does not offer Delivery,Beverage Shop ,"Juices, Beverages",100,no,no,no,yes,,
Apple Inn Restaurant,,Chitrakoot,28 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, South Indian, Fast Food",800,no,no,yes,yes,2.6,
Apple Pie Cafe & Shakes,,Malviya Nagar,25 Dining Reviews,193 Delivery Reviews,"Beverage Shop, Quick Bites ","Beverages, Fast Food",200,yes,no,yes,yes,3.3,3.1
Apsara Ice Creams,,C Scheme,233 Dining Reviews,962 Delivery Reviews,Dessert Parlor ,"Ice Cream, Desserts",200,yes,no,yes,yes,4.2,4.4
Aqsa Hotel,,Transport Nagar,233 Dining Reviews,962 Delivery Reviews,Quick Bites ,North Indian,500,no,no,yes,yes,,
Aqueens Restaurant,,Jagatpura,56 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,North Indian,500,no,no,yes,yes,3.7,
Araish,,Agra Road,Not enough Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Continental, Asian","1,400",no,no,no,yes,,
Arbab,,Durgapura,97 Dining Reviews,63 Delivery Reviews,"Casual Dining, Bar ","Fast Food, Italian, Continental, Chinese",800,no,yes,yes,yes,3.9,3
Area 11 Restro & Bar,,Mansarovar,116 Dining Reviews,124 Delivery Reviews,Lounge ,"Finger Food, North Indian",900,no,no,yes,yes,3.6,3.4
ARHAM,,Ajmer Highway,195 Dining Reviews,775 Delivery Reviews,"Sweet Shop, Casual Dining ","Mithai, North Indian, Chinese, South Indian, Continental",500,yes,no,yes,yes,4,4.2
Arihant Fruit Juice & Bakers,,Tonk Phatak,Not enough Dining Reviews,Does not offer Delivery,Beverage Shop ,"Beverages, Bakery",100,no,no,no,yes,,
Arihant Tiffin And Mess Centre,,Mansarovar,Does not offer Dining,479 Delivery Reviews,,North Indian,200,no,no,yes,no,,4.1
Arjun Da Dhaba,,Sanganer,Not enough Dining Reviews,24 Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,,3.7
Arjun Veg Momos,,Mansarovar,Does not offer Dining,525 Delivery Reviews,,Chinese,200,yes,no,yes,no,,3.8
Aroma Classic Bar,,MI Road,Not enough Dining Reviews,Does not offer Delivery,Bar ,Finger Food,900,no,yes,no,yes,,
Aromocha,,Gopalpura,313 Dining Reviews,623 Delivery Reviews,CAFÉ ,"Cafe, Fast Food, Coffee",600,yes,no,yes,yes,4.2,3.4
Around The World - Ramada Hotel,,Raja Park,95 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Continental, Italian, Asian","1,500",no,yes,no,yes,3.7,
Art Cafe,,Pink City,44 Dining Reviews,Not enough Delivery Reviews,"CAFÉ, Casual Dining ","Cafe, Italian, Thai, Continental, Mexican",500,yes,no,yes,yes,3.4,
Art Of Delicious,,Malviya Nagar,27 Dining Reviews,311 Delivery Reviews,Casual Dining ,"North Indian, Rajasthani",500,yes,no,yes,yes,3.6,3.3
Arya Restaurant,,Sitapur,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,,
Aryan Restaurant,,Jhotwara,5 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese, South Indian, Fast Food",500,yes,no,yes,yes,2.8,
Asad Tea Stall And Delicious Biryani Centre,,Hasanpura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,Biryani,150,no,no,no,yes,,
Asali Purana Pandit Ji Famous Pav Bhaji,,Mansarovar,Does not offer Dining,100 Delivery Reviews,,Street Food,200,yes,no,yes,no,,4
Aseli Marwadi Pure Veg Restaurant,,West Jaipur,Does not offer Dining,Not enough Delivery Reviews,,Rajasthani,250,no,no,yes,no,,
Ashanita's Fast Food,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,Fast Food,150,yes,no,yes,no,,
Ashirwad Cake N Bake,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"Desserts, North Indian",250,no,no,yes,no,,
Ashoka Bakers,,Ajmer Highway,Not enough Dining Reviews,Does not offer Delivery,"Bakery, Dessert Parlor ","Bakery, Ice Cream",150,no,no,no,yes,,
Ashoka Dhaba,,Sikar Road,4 Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,no,no,no,yes,3.7,
Ashoka Parnami Mishthan Bhandar,,Raja Park,129 Dining Reviews,Does not offer Delivery,"Sweet Shop, Dessert Parlor ",Mithai,150,yes,no,no,yes,3.7,
Ashu Hotel,,Durgapura,Not enough Dining Reviews,Does not offer Delivery,Casual Dining ,"Chinese, North Indian",800,yes,no,no,yes,,
Astham,,Kukas,19 Dining Reviews,Does not offer Delivery,Fine Dining ,"North Indian, Italian, Continental","4,000",no,yes,no,yes,3.5,
At Home By Meraaki Kitchen,,West Jaipur,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Continental, Asian, Italian",600,no,no,yes,no,,
Ataari,,Bani Park,13 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Continental, Chinese, Kebab, Beverages","1,200",no,yes,no,yes,3.1,
Atithi Restaurant,,Gopalbari,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Rajasthani",400,yes,no,yes,yes,3.4,
ATM Cakes & More,,Pratap Nagar,Does not offer Dining,"1,283 Delivery Reviews",,Fast Food,400,yes,no,yes,no,,3.1
ATOM - Authentic Taste Of Mumbai,,C Scheme,Does not offer Dining,"2,417 Delivery Reviews",,"Fast Food, Street Food, Beverages",300,yes,no,yes,no,,3.8
Auckland,,Chitrakoot,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",250,yes,no,no,yes,,
Auckland Cafe And Restaurant,,Chitrakoot,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Sandwich, Beverages",400,yes,no,yes,yes,3.6,
August House,,Vaishali Nagar,162 Dining Reviews,30 Delivery Reviews,CAFÉ ,"Cafe, Italian, Fast Food, Continental, Lebanese",850,yes,no,yes,yes,4,3.9
Aunty & Tiffin and Fast Food Center,,Jagatpura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Chinese, Fast Food, North Indian, South Indian",250,no,no,yes,yes,,
Aunty Ki Bakery,,Shastri Nagar,136 Dining Reviews,Does not offer Delivery,Bakery ,"Bakery, Fast Food",200,no,no,no,yes,3.9,
Aunty's Cafe,,C Scheme,418 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese, South Indian, Fast Food, Street Food",500,yes,no,no,yes,2,
Aunty's Cafe,,Mansarovar,43 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"Chinese, North Indian, South Indian",500,yes,no,yes,yes,3.1,
Aunty's Kitchen,,Pratap Nagar,Does not offer Dining,947 Delivery Reviews,,North Indian,450,no,no,yes,no,,2.7
Aura,,Gopalbari,16 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Fast Food",550,yes,no,yes,yes,3.6,
Aura - The Fern Residency,,Adarsh Nagar,9 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Continental, Chinese","1,400",no,no,yes,yes,3.7,
Aurum - Hilton Jaipur,,Bais Godam,217 Dining Reviews,Not enough Delivery Reviews,Fine Dining ,"North Indian, Italian, Asian","3,000",no,yes,yes,yes,3.8,
Aurum Restaurant,,Khatipura Road,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Chinese, North Indian",450,no,no,yes,yes,,
Avi Day Restaurant,,Sindhi Camp,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Chinese, North Indian",200,no,no,no,yes,,
Avi's Kitchen,,Jhotwara,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,,
AZ Bakers And Cafe,,Amer Road,5 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,400,no,no,no,yes,3.1,
B Bro's Cafe & Restaurant,,Jagatpura,10 Dining Reviews,214 Delivery Reviews,Quick Bites ,"North Indian, Fast Food, Chinese",150,yes,no,yes,yes,3.2,3.1
B.C & Co.,,MI Road,Does not offer Dining,72 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food",250,yes,no,yes,no,,3.8
Batra's Take Away Corner,,Raja Park,Does not offer Dining,42 Delivery Reviews,,North Indian,100,yes,no,yes,no,,4.1
Batras Tasty Room,,Jagatpura,25 Dining Reviews,583 Delivery Reviews,Quick Bites ,North Indian,150,yes,no,yes,yes,3.5,3.9
Bawa House,,Malviya Nagar,4 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Street Food, North Indian",250,yes,no,no,yes,2.9,
Bawarchis Factory,,Malviya Nagar,Does not offer Dining,Not enough Delivery Reviews,,"Fast Food, Chinese, North Indian, Beverages",500,yes,no,yes,no,,
Bay Leaf Deluxe,,Vidhyadhar Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Fast Food",700,yes,no,yes,yes,,
Bayleaf,,Malviya Nagar,34 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Chinese, South Indian, Fast Food",750,yes,no,no,yes,2.6,
Bazaar - Zone by the Park,,Bani Park,156 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Continental, Rajasthani, Italian","1,600",no,yes,yes,yes,3.8,
BBQ Takeaway The Kebab Shop,,Jhotwara,4 Dining Reviews,53 Delivery Reviews,Quick Bites ,"North Indian, Mughlai",200,no,no,yes,yes,2.9,3.9
BDS Hotel Restaurant,,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Chinese, Fast Food, South Indian, Beverages",400,no,no,yes,no,,
Be Legend Cafe,,Chitrakoot,25 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Healthy Food, Fast Food",300,no,no,yes,yes,3.7,
Beer Barrel,,Jhotwara,71 Dining Reviews,Does not offer Delivery,"Casual Dining, Bar ","North Indian, Continental, Chinese","1,000",no,yes,no,yes,3.1,
Behrouz Biryani,,Central Jaipur,Does not offer Dining,569 Delivery Reviews,,"Biryani, North Indian, Mughlai",700,no,no,yes,no,,4.2
Belgium's Waffle Station,,Sodala,162 Dining Reviews,"1,005 Delivery Reviews","Dessert Parlor, Quick Bites ","Desserts, Fast Food, Beverages",500,yes,no,yes,yes,4,3.7
Belgium's Waffle Station,,Malviya Nagar,21 Dining Reviews,64 Delivery Reviews,"Dessert Parlor, Quick Bites ","Desserts, Fast Food, Beverages",500,no,no,yes,yes,3.6,3.9
Bell Pepper Pizza,,Jhotwara,141 Dining Reviews,55 Delivery Reviews,Quick Bites ,"Chinese, Italian",400,no,no,yes,yes,3.9,3.6
Benito Foods,,Jagatpura,36 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, Italian",700,no,no,yes,yes,3.5,
Bento - Meals by Big Slick,,Malviya Nagar,16 Dining Reviews,88 Delivery Reviews,Quick Bites ,"Mexican, Asian, Chinese, Italian",500,no,no,yes,yes,3.6,4.2
Bento - Meals by Big Slick,,Tonk Phatak,0 Dining Reviews,0 Delivery Reviews,"Quick Bites, Quick Bites ","Chinese, Italian, Mexican, Asian, Beverages",500,no,no,yes,yes,3.6,4.2
Best Pudi Sabji Bhojnalay,,Vaishali Nagar,Does not offer Dining,114 Delivery Reviews,,North Indian,200,no,no,yes,no,,3.7
Between The Brews,,Gopalpura,183 Dining Reviews,469 Delivery Reviews,CAFÉ ,"Cafe, North Indian",800,yes,no,yes,yes,4,3.6
Beyond Bread Bakery,,Lal Kothi,Does not offer Dining,30 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food",200,yes,no,yes,no,,3.1
Bhabhi Ki Rasoi,,Lal Kothi,248 Dining Reviews,"7,008 Delivery Reviews",Quick Bites ,North Indian,250,no,no,yes,yes,3.8,3.3
Bhagat Dhaba,,Jawahar Nagar,6 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,300,no,no,yes,yes,3.9,
Bhagat Ji,,Gopalpura,Does not offer Dining,"6,075 Delivery Reviews",Sweet Shop ,Mithai,100,yes,no,yes,no,,4.3
Bhagat Ji Thali,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Chinese",200,no,no,yes,no,,
Bhagat Ladduwalas,,Vaishali Nagar,Does not offer Dining,819 Delivery Reviews,Sweet Shop ,Mithai,200,yes,no,yes,no,,4.6
Bhagat Mishthan Bhandar,,MI Road,Does not offer Dining,734 Delivery Reviews,Sweet Shop ,Mithai,500,no,no,yes,no,,3.9
Bhagwati Tiffin Centre,,Vaishali Nagar,Does not offer Dining,Not enough Delivery Reviews,,North Indian,100,no,no,yes,no,,
Bhai Bhai Fast Food Centre,,Jawahar Nagar,70 Dining Reviews,Does not offer Delivery,,"Fast Food, Momos",300,no,no,no,yes,3.7,
Bhai Ka Dhaba,,Lal Kothi,7 Dining Reviews,350 Delivery Reviews,Dhaba ,North Indian,400,no,no,yes,yes,2.5,3.8
Bhaijaan,,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,300,no,no,no,yes,,
Bhaijaan Biryani,,Gopalpura,Does not offer Dining,Not enough Delivery Reviews,,Biryani,500,no,no,yes,no,,
Bhaijaan Cafe,,Adarsh Nagar,Does not offer Dining,Not enough Delivery Reviews,,"Fast Food, Beverages",150,no,no,yes,no,,
Bharat Bits N Bites,,C Scheme,119 Dining Reviews,"4,855 Delivery Reviews",Quick Bites ,"Chinese, Street Food, Fast Food",350,no,no,yes,yes,3.8,3.8
Bharat's Bits n Bites,,Raja Park,Does not offer Dining,"3,661 Delivery Reviews",,"Chinese, Street Food, Fast Food",350,yes,no,yes,no,,3.7
Bharat's Bits n Bites,,Pink City,Does not offer Dining,820 Delivery Reviews,Quick Bites ,"Fast Food, Chinese",250,yes,no,yes,no,,4
Bharia's Veg Restaurant,,Gopalpura,280 Dining Reviews,"1,291 Delivery Reviews",Quick Bites ,"North Indian, Fast Food, Beverages",400,yes,no,yes,yes,3.3,3.6
Bharkadevi Ice Cream,,Pratap Nagar,6 Dining Reviews,Does not offer Delivery,Dessert Parlor ,"Ice Cream, Beverages",150,yes,no,no,yes,3.5,
Bharkhadevi Ice Cream,,Bais Godam,Not enough Dining Reviews,Does not offer Delivery,Dessert Parlor ,"Ice Cream, Desserts, Beverages",200,no,no,no,yes,,
Bharkhadevi Ice Cream,,Tonk Road,4 Dining Reviews,40 Delivery Reviews,"Dessert Parlor, Beverage Shop ","Ice Cream, Desserts, Beverages",200,yes,no,yes,yes,3.1,3.5
Bharti Bits N Bites,,Lal Kothi,Does not offer Dining,175 Delivery Reviews,,"Chinese, Street Food, Fast Food",350,no,no,yes,no,,3.4
Bhartiya Bakery,,Pink City,Does not offer Dining,89 Delivery Reviews,Bakery ,Bakery,400,yes,no,yes,no,,4.4
Bhartiya Bakery,,Durgapura,Does not offer Dining,44 Delivery Reviews,Bakery ,Bakery,250,yes,no,yes,no,,3.8
Bhati Gravy And Grill,,Jhotwara,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Hyderabadi, Chinese",500,no,no,yes,yes,,
Bhavya Govindam,,Jawahar Nagar,65 Dining Reviews,580 Delivery Reviews,Quick Bites ,"North Indian, Chinese",350,yes,no,yes,yes,2.9,3.7
Bhawana Food Chaska,,Gopalpura,Does not offer Dining,13 Delivery Reviews,,"Fast Food, North Indian",200,yes,no,yes,no,,3.2
Bhaya Ji Juice Parlour,,Malviya Nagar,20 Dining Reviews,55 Delivery Reviews,Beverage Shop ,"Juices, Beverages",150,no,no,yes,yes,2.7,3.9
Bhaya Ji Restaurant,,Malviya Nagar,14 Dining Reviews,52 Delivery Reviews,Quick Bites ,North Indian,400,yes,no,yes,yes,3.3,3.9
Bhaya Ka Vaishno Dhaba,,Pink City,75 Dining Reviews,276 Delivery Reviews,Dhaba ,North Indian,150,yes,no,yes,yes,3.5,4.1
Bhayajee Mittal Sweets,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,Sweet Shop ,"Mithai, Street Food",300,yes,no,yes,no,,
Bhelpur,,Chitrakoot,Does not offer Dining,74 Delivery Reviews,Kiosk ,Street Food,150,yes,no,yes,no,,4.2
Bhog Seva,,Mansarovar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"North Indian, Chinese",400,yes,no,yes,yes,,
Bhoj,,Durgapura,205 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Chinese, Continental","1,500",yes,no,no,yes,3.9,
Bhole Nath Ke Samose,,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,,"North Indian, Fast Food, Beverages",450,no,no,yes,no,,
Bhookh Adda,,C Scheme,27 Dining Reviews,69 Delivery Reviews,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",500,yes,no,yes,yes,3.2,3.1
Bhozan.com,,Malviya Nagar,13 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,200,no,no,yes,yes,3.4,
Bhozan.com,,Pratap Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,200,yes,no,yes,yes,,
Bhukaddd,,Malviya Nagar,Does not offer Dining,"4,141 Delivery Reviews",,"North Indian, Chinese",800,no,no,yes,no,,3.2
Big Daddy's,,C Scheme,26 Dining Reviews,29 Delivery Reviews,Quick Bites ,"Fast Food, Beverages",500,yes,no,yes,yes,3.7,3.9
